名詞,動詞,形容詞,てにをは（前）,てにをは（後）
君,叫ぶ,儚い,を,を
夜,愛す,苦い,と,と
運命,逃げる,甘い,の,の
孤独,耐える,青い,から,から
自由,笑う,強い,へ,へ
未来,求める,寂しい,に,に
過去,壊す,眩しい,まで,まで
光,守る,重い,より,より
涙,探す,冷たい,で,で
都会,許す,居たい,にて,にて
記憶,眠る,優しい,とともに,とともに
面影,信じる,心地いい,をこえて,をこえて
夢,塗る,淡い,に寄り添い,に寄り添い
影,彷徨う,虚しい,に抱かれ,に抱かれ
風,隠す,険しい,に眠り,に眠り
雨,溶ける,淡白な,から逃れて,から逃れて
朝,伝える,鮮やか,を求めて,を求めて
夕,離れる,鈍い,と交わり,と交わり
星,抱きしめる,鋭い,に溶けて,に溶けて
心,見つめる,温かい,から生まれ,から生まれ
恋,忘れる,乾いた,を捧げて,を捧げて
願い,彫る,澄んだ,に焦がれて,に焦がれて
誓い,駆ける,暗い,に揺れて,に揺れて
孤高,焦がれる,深い,を刻んで,を刻んで
秘密,震える,脆い,と離れて,と離れて
希望,落ちる,透明な,に響いて,に響いて
絶望,溺れる,細い,,
愛,零す,太い,,
別れ,踏み出す,薄い,,
約束,叫び続ける,固い,,
温もり,繋ぐ,柔らかい,,
静寂,砕ける,遠い,,
混沌,燃える,近い,,
祈り,失う,新しい,,
海,舞い上がる,古い,,
空,駆け抜ける,悲しい,,
夜明け,問いかける,切ない,,
幻,裂ける,赤い,,
季節,崩れる,白い,,
境界,逃し続ける,黒い,,
声,刻む,淡い,,
微笑み,眠り込む,静かな,,
旅,立ち尽くす,柔和な,,
傷,凍える,蒼い,,
真実,奏でる,荒い,,
嘘,散る,高い,,
罪,蘇る,低い,,
罰,呼びかける,厚い,,
道,引き裂く,薄暗い,,
花,守り抜く,暖かい,,
焔,見失う,冷ややか,,
命,貫く,憂い深い,,
絆,抱き寄せる,愛おしい,,
欠片,飲み込む,空しい,,
朧月,刺さる,残酷な,,
深淵,染まる,純粋な,,
涙跡,追いかける,壮大な,,
世界,打ち砕く,微かな,,
境界線,浮かび上がる,孤独な,,
時計,消え去る,健気な,,
迷路,背負う,不可思議な,,
断崖,潜る,渇いた,,
孤島,迎える,無慈悲な,,
湖,向き合う,激しい,,
氷,放つ,繊細な,,
鈴,歩き出す,優雅な,,
鏡,紡ぐ,神秘的な,,
微光,寄り添う,麗しい,,
手紙,宿る,妖しい,,
鍵,降り注ぐ,怯えた,,
廃墟,溶かす,陰鬱な,,
木漏れ日,逃れ続ける,無垢な,,
音,漂う,儚げな,,
香り,降り立つ,孤高の,,
泡沫,沈む,絶望的な,,
歪み,交わる,幻想的な,,
深夜,生きる,静謐な,,
永遠,焦がす,鮮烈な,,
流星,隠れ続ける,悲愴な,,
灯火,破る,鮮明な,,
記憶の欠片,救い出す,純白の,,
鐘,突き刺す,深淵な,,
闇,照らす,孤独めいた,,
天使,見守る,荒涼たる,,
堕天使,飛び立つ,透明感のある,,
微睡み,閉じ込める,薄明かりの,,
静けさ,拒む,薄幸の,,
遠雷,追い続ける,穏やかな,,
軌跡,響く,慈悲深い,,
時雨,離さない,虚ろな,,
遠い日,立ち向かう,鈍色の,,
朽ちた道,重なる,夢幻の,,
静寂の森,刻み続ける,神聖な,,
月明かり,与える,退廃的な,,
影法師,赦す,冷酷な,,
静脈,撫でる,純然たる,,
葉擦れ,感じる,奔放な,,
追憶,触る,柔らかな,,
流浪,食べる,孤独な,,
溜息,締め付ける,寒い,,
孤影,塗り替える,熱い,,
音,塗りつぶす,暑い,,
六本木,押し倒す,冷たい,,
銀座,会う,恋したい,,
渋谷,,,,
新宿,,,,
埼玉,,,,
田舎,,,,
神奈川,,,,
